topic,keyword,importance
1,ocular,0.023107849
1,study,0.016601292
1,safety,0.009635727
1,target,0.008833596
1,model,0.008686311
1,efficacy,0.008458039
1,novel,0.008041309
1,therapeutic,0.006828381
1,trial,0.0066913194
1,cell,0.00651197
1,therapy,0.0064543206
1,human,0.0063190903
1,mouse,0.0055959467
1,drug,0.005554028
1,lower,0.005450476
1,systemic,0.005085051
1,inflammatory,0.005057471
1,rabbit,0.0050208066
1,dose,0.0048995083
1,surface,0.004787586
1,patient,0.0047431914
1,eye,0.004655311
1,release,0.004639159
1,toxicity,0.004608323
1,anti,0.004501307
1,chronic,0.0043616123
1,pterygium,0.00425144
1,preclinical,0.004139067
1,show,0.0040777684
1,approve,0.0039626635
2,aptamer,0.011047392
2,treatment,0.010947748
2,agent,0.0070030764
2,long,0.006393721
2,market,0.0058287554
2,ipredicttm,0.0058110063
2,aim,0.0057131643
2,potential,0.0055381437
2,screening,0.005130864
2,corneal,0.0050783423
2,therapeutic,0.005042268
2,improve,0.0049873404
2,cell,0.004966441
2,result,0.0046563772
2,duration,0.0046208748
2,device,0.0046121264
2,far,0.0045882394
2,year,0.004586496
2,wet,0.004574499
2,injection,0.0043963944
2,identify,0.0043635825
2,effective,0.0042517367
2,phase,0.0042024
2,significant,0.004078617
2,efficacy,0.0040456736
2,accuracy,0.0039917342
2,discovery,0.0038901793
2,complement,0.0038626855
2,also,0.0038284296
2,cornea,0.003765951
3,disease,0.017816247
3,system,0.014424416
3,imaging,0.01031677
3,high,0.008948225
3,retinal,0.008528733
3,model,0.008232321
3,cell,0.008137307
3,speed,0.0075666066
3,gene,0.006208887
3,development,0.0057833362
3,diagnosis,0.0056830025
3,dry,0.005635282
3,technology,0.005366545
3,ush,0.0044981977
3,test,0.004440996
3,response,0.0043742475
3,affect,0.004340521
3,oct,0.004327747
3,visual,0.0043117576
3,prevent,0.0042684344
3,death,0.004070981
3,therapy,0.0040627806
3,mutation,0.0040420042
3,advanced,0.0039595533
3,functional,0.00384993
3,laser,0.003688861
3,device,0.0035333189
3,inhibitor,0.0034132234
3,dual,0.0033745624
3,stress,0.0033363348
4,image,0.020044532
4,imaging,0.0110584805
4,device,0.010310869
4,eye,0.009489161
4,datum,0.007580461
4,retinal,0.007192175
4,glaucoma,0.006095974
4,research,0.0059234914
4,base,0.005783001
4,new,0.0056148097
4,display,0.005541524
4,high,0.005220955
4,digital,0.005126952
4,software,0.0046230406
4,quality,0.004510359
4,detection,0.0044191475
4,biomarker,0.004182718
4,ability,0.0041172775
4,tool,0.004064816
4,diagnosis,0.0040422464
4,approach,0.003985605
4,visual,0.0038702362
4,retina,0.0037390015
4,number,0.0037115484
4,blind,0.0037000948
4,analysis,0.0036776906
4,low,0.0036485407
4,time,0.0036475558
4,cost,0.003493572
4,improve,0.0034804544
5,drug,0.013883493
5,corneal,0.0123638585
5,cell,0.009213496
5,formulation,0.008552384
5,aim,0.008501681
5,study,0.0070317206
5,model,0.006379997
5,protein,0.0058335713
5,release,0.005613765
5,effect,0.0055800513
5,topical,0.0055639427
5,lens,0.0054718526
5,delivery,0.0047022873
5,polymer,0.0044143563
5,radiation,0.004155747
5,lead,0.004149191
5,optimize,0.0040002386
5,infection,0.003860591
5,molecular,0.00380656
5,increase,0.0037554565
5,activity,0.0036795693
5,contact_lens,0.0035471176
5,efficacy,0.0035324788
5,cataract,0.003299646
5,drop,0.003219676
5,development,0.0032130834
5,preliminary,0.0032075816
5,antibiotic,0.00309467
5,world,0.003033556
5,use,0.0030098162
6,corneal,0.018064225
6,cell,0.013290773
6,tissue,0.01097981
6,retinal,0.00855422
6,cornea,0.008026077
6,vision,0.0068815867
6,imaging,0.006231332
6,disease,0.0058588
6,base,0.005217216
6,vmco,0.0051626414
6,vivo,0.004839598
6,degeneration,0.004489399
6,cellular,0.004456431
6,technology,0.004414846
6,haptic,0.004363006
6,ambient_light,0.0043062405
6,far,0.004209667
6,delivery,0.004154602
6,dry,0.0041076276
6,flow,0.004066486
6,wound,0.0040536746
6,map,0.0039232434
6,evaluation,0.0038613162
6,transplant,0.0038455601
6,restore,0.003839858
6,safety,0.0037960592
6,mouse,0.003699086
6,result,0.0036858462
6,efficacy,0.003684541
6,image,0.0036785745
7,patient,0.013491656
7,system,0.0111286
7,clinical,0.0088107
7,disease,0.008729215
7,retinal,0.007967195
7,glaucoma,0.0070704226
7,treatment,0.006924889
7,therapy,0.006564603
7,provide,0.0058407094
7,care,0.005529925
7,study,0.005356062
7,test,0.0048532924
7,risk,0.004735896
7,factor,0.004538672
7,visual,0.004125442
7,datum,0.0039534606
7,need,0.0036802338
7,aim,0.003628205
7,model,0.0035524957
7,other,0.0034837234
7,outcome,0.0034142658
7,people,0.0033334931
7,population,0.0032332216
7,diabetic,0.0031714619
7,require,0.003165808
7,therapeutic,0.0031377494
7,animal,0.0031247311
7,reduce,0.0031064495
7,development,0.003060327
7,prototype,0.0030553283
